"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","COMMENT_TS","COMMENT_OBS","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","TZA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2021","15.9961076970352","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2020–2021","Number of Households: 3316","0","A","PU","Annual","Tanzania","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","UGA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2020","6.9849106842277","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2019–2020","Number of Households: 2473","0","A","PU","Annual","Uganda","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","_T","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2024","237.165086674589","_Z","NUMBER","2","WB_AGCI","602","Survey year range: nan","Number of Households: 27684","0","A","PU","Annual","Overall","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ETH","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2022","443.327165517547","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 1917","0","A","PU","Annual","Ethiopia","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","KEN","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2016","139.33591362803","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2015–2016","Number of Households: 11341","0","A","PU","Annual","Kenya","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","LBR","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2016","265.067536853451","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2016","Number of Households: 2797","0","A","PU","Annual","Liberia","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MWI","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2020","78.660281058571","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2019–2020","Number of Households: 2419","0","A","PU","Annual","Malawi","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","NGA","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2024","278.90668397674","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2023–2024","Number of Households: 3323","0","A","PU","Annual","Nigeria","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","TZA","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2021","139.966530448152","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2020–2021","Number of Households: 3414","0","A","PU","Annual","Tanzania","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","UGA","AG_HH_PD_V","_Z","_Z","_Z","USD","_Z","_Z","_Z","2020","317.570650044112","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2019–2020","Number of Households: 2473","0","A","PU","Annual","Uganda","Median Agricultural Household Production Value","Not applicable","Not applicable","Not applicable","US dollars","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MDG","AG_IMO_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","1.7176465751753","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 16871","0","A","PU","Annual","Madagascar","Percentage of Agricultural Households using Improved Seeds","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MLI","AG_IMO_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","14.9258024583694","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 6143","0","A","PU","Annual","Mali","Percentage of Agricultural Households using Improved Seeds","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MWI","AG_IMO_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2020","47.426315130744","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2019–2020","Number of Households: 3178","0","A","PU","Annual","Malawi","Percentage of Agricultural Households using Improved Seeds","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","NER","AG_IMO_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2014","4.73388262701705","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2014","Number of Households: 6622","0","A","PU","Annual","Niger","Percentage of Agricultural Households using Improved Seeds","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
